id;competitor;region;published_at;media_name;url;title;text;category;priority;tonality;department;action;comment;reject
98;СмартАналитика;Новосибирск;2026-06-15;Forbes;https://www.forbes.ru/news/statya-ob-open-source-98;Статья об open-source альтернативах;"В блоге на Хабре независимый разработчик сравнил эффективность зарубежных ИИ с отечественными разработками, затронув бенчмарки продукта от ""СмартАналитика"".";косвенное упоминание;p3;neutral;Аналитика;;Сравнение бенчмарков в независимой статье на Хабре;
99;АлгоМаш;Екатеринбург;2026-06-16;ComNews;https://www.comnews.ru/news/podkast-pro-neiroseti-i-99;Подкаст про нейросети и дизайн;"Ведущие подкаста про технологии обсудили автоматизацию рутины дизайнеров и упомянули, что пару раз использовали генератор картинок от ""АлгоМаш"" для набросков.";косвенное упоминание;p3;neutral;Аналитика;;Мимолётное упоминание генератора картинок в подкасте;
100;НейроТек;Казань;2026-06-17;D-Russia;https://d-russia.ru/news/novyi-kofe-v-ofise-100;Новый кофе в офисе разработчиков;"Сотрудники компании ""НейроТек"" в своих соцсетях массово обсуждают смену поставщика зернового кофе на корпоративной кухне.";информационный шум;p3;neutral;Аналитика;;Бытовая офисная новость без связи с бизнесом;
101;СловоГен;Нижний Новгород;2026-06-18;Rusbase;https://rb.ru/news/korporativnyi-kot-stal-zvezdoi-101;Корпоративный кот стал звездой TikTok;"HR-отдел ""СловоГен"" завел аккаунт для офисного кота Барсика, который спит на серверах. Видео уже набрало 100 тысяч просмотров.";информационный шум;p3;neutral;Аналитика;;Развлекательный контент, не относится к бизнесу;
102;ДатаСинтез;Самара;2026-06-19;Право.ру;https://pravo.ru/news/smena-dizaina-peregovorki-102;Смена дизайна переговорки;"Компания ""ДатаСинтез"" опубликовала пресс-релиз о том, что они перекрасили стены в своей главной переговорной комнате в успокаивающий синий цвет.";информационный шум;p3;neutral;Аналитика;;Косметическое обновление офиса;
103;Интеллект-Системс;Томск;2026-06-20;РИА Новости;https://ria.ru/news/prazdnovanie-dnya-sistemnogo-administratora-103;Празднование дня системного администратора;"Команда ""Интеллект-Системс"" заказала 50 пицц в офис, чтобы отметить профессиональный праздник своих девопс-инженеров.";информационный шум;p3;neutral;Аналитика;;Корпоративное мероприятие без бизнес-значимости;
104;МодельОн;Иннополис;2026-06-21;Известия;https://iz.ru/news/baraban-holodilnik-mashina-104;Барабан холодильник машина;Шлакоблок зеленый прыгать лорем ипсум ветер собака чашка ИИ лететь пустота мышка клавиатура.;информационный шум;p3;irrelevant;Аналитика;;Бессвязный текст без смысловой нагрузки;
105;СмартАналитика;Москва;2026-06-26;vc.ru;https://vc.ru/promo/smart-lorem;Пресс релиз компания технологии и инновации 2026 читать далее;Lorem ipsum нейросеть dolor данные sit amet платформа consectetur внедрение adipiscing elit облако модель tempor incididunt ut labore алгоритм рынок aliqua ссылка подробнее источник реклама 18+;;;;;;;stop_word
106;СмартАналитика;Москва;2026-06-27;vc.ru;https://vc.ru/promo/smart-sale;ИИ ИИ ИИ технологии будущее прорыв уникальный лидер номер один;Купить подписку скидка 50 процентов только сегодня искусственный интеллект для бизнеса звоните сейчас консультация бесплатно нейросеть под ключ гарантия результата переходи по ссылке в описании;;;;;;;stop_word
107;Кодариум;Москва;2026-06-20;КП;https://www.kp.ru/daily/it-goroskop-2;Гороскоп для айтишников на неделю;Что обещают звёзды разработчикам, аналитикам и тестировщикам на этой неделе. Материал носит развлекательный характер.;;;;;;;stop_topic
108;СмартАналитика;Санкт-Петербург;2026-06-22;Фонтанка;https://www.fontanka.ru/2026/06/22/kreiser-avrora-2;Крейсер «Аврора» вновь открыт для посещения после реставрации;Корабль-музей принимает посетителей после завершения работ на верхней палубе. К деятельности разработчиков ИИ материал отношения не имеет.;;;;;;;false_positive
109;СмартАналитика;;2026-06-21;insider-leaks.info;https://insider-leaks.info/smart-dossier;Досье: как на самом деле устроены контракты «СмартАналитика»;Анонимная публикация с непроверяемыми утверждениями о схемах работы компании с заказчиками. Источники не названы, документы не приложены.;;;;;;;black_domain
110;Праймтех;Москва;2026-06-23;CNews;https://www.cnews.ru/news/praimtech-noname;;Текст без заголовка — парсер не смог достать title со страницы источника.;;;;;;;parse_error
111;СмартАналитика;Москва;2026-06-23;Хабр;https://habr.com/ru/companies/smart/news/hiring;«СмартАналитика» объявила набор пятидесяти инженеров в команду разметки;Компания открыла вакансии для специалистов по разметке данных и оптимизации моделей. По словам представителя, набор связан с ростом нагрузки на платформу. Часть позиций предполагает удалённый формат.;PR-активность конкурента;p3;neutral;PR;;Активный наём под масштабирование разметки;
112;СмартАналитика;Москва;2026-06-24;vc.ru;https://vc.ru/services/smart-cabinet-redesign;«СмартАналитика» обновила дизайн личного кабинета;Разработчики платформы «СмартАналитика» выкатили обновлённый интерфейс личного кабинета пользователя. Изменения затронули навигацию и цветовую схему. Функциональность сервиса не изменилась.;информационный шум;p3;neutral;Аналитика;;Шестое событие конкурента за неделю — сверх лимита антишума;noise_limit
